Sample;Publication;originla_id;Reference;enzyme;type;number of read pairs;;
Hum1a_HiC;Yaffe et al., NM 2020;SRR10238606;Hum1;DpnII;metaHiC;;;
Hum1b_HiC;Yaffe et al., NM 2020;SRR10238605;Hum1;DpnII;metaHiC;;;
Hum1c_HiC;Yaffe et al., NM 2020;SRR10238604;Hum1;DpnII;metaHiC;;;
Hum1_SG;Yaffe et al., NM 2020;SRR8187104 ;Hum1;NA;shotgun;;;
Hum2a_HiC;Yaffe et al., NM 2020;SRR8186426 ;Hum2;DpnII;metaHiC;;;
Hum2b_HiC;Yaffe et al., NM 2020;SRR8186425;Hum2;DpnII;metaHiC;;;
Hum2_SG;Yaffe et al., NM 2020;SRR8186424 ;Hum2;NA;shotgun;;;
Hum3a_HiC;Kent et al., 2019;SRR12344426;Hum3;Sau3AI;metaHiC;;;
Hum3b_HiC;Kent et al., 2019;SRR12344425;Hum3;Sau3AI;metaHiC;;;
Hum3c_HiC;Kent et al., 2019;SRR12344424;Hum3;Sau3AI;metaHiC;;;
Hum3d_HiC;Kent et al., 2019;SRR12344423;Hum3;Sau3AI;metaHiC;;;
Hum3a_SG;Kent et al., 2019;SRR12344464;Hum3;NA;shotgun;;;
Hum3b_SG;Kent et al., 2019;SRR12344463;Hum3;NA;shotgun;;;
Hum3c_SG;Kent et al., 2019;SRR12344452;Hum3;NA;shotgun;;;
Hum3d_SG;Kent et al., 2019;SRR12344441;Hum3;NA;shotgun;;;
Hum4a_HiC;Kent et al., 2019;SRR12344422;Hum4;Sau3AI;metaHiC;;;
Hum4b_HiC;Kent et al., 2019;SRR12344421;Hum4;Sau3AI;metaHiC;;;
Hum4c_HiC;Kent et al., 2019;SRR12344420;Hum4;Sau3AI;metaHiC;;;
Hum4d_HiC;Kent et al., 2019;SRR12344418;Hum4;Sau3AI;metaHiC;;;
Hum4e_HiC;Kent et al., 2019;SRR12344417;Hum4;Sau3AI;metaHiC;;;
Hum4f_HiC;Kent et al., 2019;SRR12344416;Hum4;Sau3AI;metaHiC;;;
Hum4g_HiC;Kent et al., 2019;SRR12344415;Hum4;Sau3AI;metaHiC;;;
Hum4a_SG;Kent et al., 2019;SRR12344430;Hum4;NA;shotgun;;;
Hum4b_SG;Kent et al., 2019;SRR12344419;Hum4;NA;shotgun;;;
Hum4c_SG;Kent et al., 2019;SRR12344408;Hum4;NA;shotgun;;;
Hum4d_SG;Kent et al., 2019;SRR12344397;Hum4;NA;shotgun;;;
Hum4e_SG;Kent et al., 2019;SRR12344386;Hum4;NA;shotgun;;;
Hum4f_SG;Kent et al., 2019;SRR12344378;Hum4;NA;shotgun;;;
Hum4g_SG;Kent et al., 2019;SRR12344462;Hum4;NA;shotgun;;;
Hum5a_HiC;Kent et al., 2019;SRR12344414;Hum5;Sau3AI;metaHiC;;;
Hum5b_HiC;Kent et al., 2019;SRR12344413;Hum5;Sau3AI;metaHiC;;;
Hum5c_HiC;Kent et al., 2019;SRR12344412;Hum5;Sau3AI;metaHiC;;;
Hum5d_HiC;Kent et al., 2019;SRR12344411;Hum5;Sau3AI;metaHiC;;;
Hum5a_SG;Kent et al., 2019;SRR12344461;Hum5;NA;shotgun;;;
Hum5b_SG;Kent et al., 2019;SRR12344460;Hum5;NA;shotgun;;;
Hum5c_SG;Kent et al., 2019;SRR12344459;Hum5;NA;shotgun;;;
Hum5d_SG;Kent et al., 2019;SRR12344458;Hum5;NA;shotgun;;;
Hum6a_HiC;Kent et al., 2019;SRR12344410;Hum6;Sau3AI;metaHiC;;;
Hum6b_HiC;Kent et al., 2019;SRR12344409;Hum6;Sau3AI;metaHiC;;;
Hum6c_HiC;Kent et al., 2019;SRR12344407;Hum6;Sau3AI;metaHiC;;;
Hum6d_HiC;Kent et al., 2019;SRR12344406;Hum6;Sau3AI;metaHiC;;;
Hum6a_SG;Kent et al., 2019;SRR12344457;Hum6;NA;shotgun;;;
Hum6b_SG;Kent et al., 2019;SRR12344456;Hum6;NA;shotgun;;;
Hum6c_SG;Kent et al., 2019;SRR12344455;Hum6;NA;shotgun;;;
Hum6d_SG;Kent et al., 2019;SRR12344454;Hum6;NA;shotgun;;;
Hum7a_HiC;Kent et al., 2019;SRR12344405;Hum7;Sau3AI;metaHiC;;;
Hum7b_HiC;Kent et al., 2019;SRR12344404;Hum7;Sau3AI;metaHiC;;;
Hum7c_HiC;Kent et al., 2019;SRR12344403;Hum7;Sau3AI;metaHiC;;;
Hum7a_SG;Kent et al., 2019;SRR12344453;Hum7;NA;shotgun;;;
Hum7b_SG;Kent et al., 2019;SRR12344451;Hum7;NA;shotgun;;;
Hum7c_SG;Kent et al., 2019;SRR12344450;Hum7;NA;shotgun;;;
Hum8a_HiC;Kent et al., 2019;SRR12344402;Hum8;Sau3AI;metaHiC;;;
Hum8b_HiC;Kent et al., 2019;SRR12344401;Hum8;Sau3AI;metaHiC;;;
Hum8c_HiC;Kent et al., 2019;SRR12344400;Hum8;Sau3AI;metaHiC;;;
Hum8d_HiC;Kent et al., 2019;SRR12344399;Hum8;Sau3AI;metaHiC;;;
Hum8e_HiC;Kent et al., 2019;SRR12344398;Hum8;Sau3AI;metaHiC;;;
Hum8f_HiC;Kent et al., 2019;SRR12344396;Hum8;Sau3AI;metaHiC;;;
Hum8a_SG;Kent et al., 2019;SRR12344449;Hum8;NA;shotgun;;;
Hum8b_SG;Kent et al., 2019;SRR12344448;Hum8;NA;shotgun;;;
Hum8c_SG;Kent et al., 2019;SRR12344447;Hum8;NA;shotgun;;;
Hum8d_SG;Kent et al., 2019;SRR12344446;Hum8;NA;shotgun;;;
Hum8e_SG;Kent et al., 2019;SRR12344445;Hum8;NA;shotgun;;;
Hum8f_SG;Kent et al., 2019;SRR12344444;Hum8;NA;shotgun;;;
Hum9a_HiC;Kent et al., 2019;SRR12344395;Hum9;Sau3AI;metaHiC;;;
Hum9b_HiC;Kent et al., 2019;SRR12344394;Hum9;Sau3AI;metaHiC;;;
Hum9c_HiC;Kent et al., 2019;SRR12344393;Hum9;Sau3AI;metaHiC;;;
Hum9d_HiC;Kent et al., 2019;SRR12344392;Hum9;Sau3AI;metaHiC;;;
Hum9e_HiC;Kent et al., 2019;SRR12344391;Hum9;Sau3AI;metaHiC;;;
Hum9a_SG;Kent et al., 2019;SRR12344443;Hum9;NA;shotgun;;;
Hum9b_SG;Kent et al., 2019;SRR12344442;Hum9;NA;shotgun;;;
Hum9c_SG;Kent et al., 2019;SRR12344440;Hum9;NA;shotgun;;;
Hum9d_SG;Kent et al., 2019;SRR12344439;Hum9;NA;shotgun;;;
Hum9e_SG;Kent et al., 2019;SRR12344438;Hum9;NA;shotgun;;;
Hum10a_HiC;Kent et al., 2019;SRR12344390;Hum10;Sau3AI;metaHiC;;;
Hum10b_HiC;Kent et al., 2019;SRR12344389;Hum10;Sau3AI;metaHiC;;;
Hum10c_HiC;Kent et al., 2019;SRR12344388;Hum10;Sau3AI;metaHiC;;;
Hum10d_HiC;Kent et al., 2019;SRR12344387;Hum10;Sau3AI;metaHiC;;;
Hum10e_HiC;Kent et al., 2019;SRR12344385;Hum10;Sau3AI;metaHiC;;;
Hum10a_SG;Kent et al., 2019;SRR12344437;Hum10;NA;shotgun;;;
Hum10b_SG;Kent et al., 2019;SRR12344436;Hum10;NA;shotgun;;;
Hum10c_SG;Kent et al., 2019;SRR12344435;Hum10;NA;shotgun;;;
Hum10d_SG;Kent et al., 2019;SRR12344434;Hum10;NA;shotgun;;;
Hum10e_SG;Kent et al., 2019;SRR12344433;Hum10;NA;shotgun;;;
Hum11a_HiC;Kent et al., 2019;SRR12344384;Hum11;Sau3AI;metaHiC;;;
Hum11b_HiC;Kent et al., 2019;SRR12344383;Hum11;Sau3AI;metaHiC;;;
Hum11c_HiC;Kent et al., 2019;SRR12344382;Hum11;Sau3AI;metaHiC;;;
Hum11d_HiC;Kent et al., 2019;SRR12344381;Hum11;Sau3AI;metaHiC;;;
Hum11e_HiC;Kent et al., 2019;SRR12344380;Hum11;Sau3AI;metaHiC;;;
Hum11a_SG;Kent et al., 2019;SRR12344432;Hum11;NA;shotgun;;;
Hum11b_SG;Kent et al., 2019;SRR12344431;Hum11;NA;shotgun;;;
Hum11c_SG;Kent et al., 2019;SRR12344429;Hum11;NA;shotgun;;;
Hum11d_SG;Kent et al., 2019;SRR12344428;Hum11;NA;shotgun;;;
Hum11e_SG;Kent et al., 2019;SRR12344427;Hum11;NA;shotgun;;;
Hum12a_HiC;DeMaere et al., MRA 2020;SRR10566997;Hum12;Sau3AI,MluCI;proxi;;;
Hum12b_HiC;DeMaere et al., MRA 2020;SRR7427737;Hum12;Sau3AI,MluCI;proxi;;;
Hum12_SG;DeMaere et al., MRA 2020;SRR5298275;Hum12;NA;shotgun;;;
Hum13a_3C;Ivanova et al., Frontiers 2022;SRR14292251;Hum13;HpaII;3C;;;
Hum13b_3C;Ivanova et al., Frontiers 2022;SRR14292249;Hum13;HpaII;3C;;;
Hum13a_SG;Ivanova et al., Frontiers 2022;SRR14292252;Hum13;NA;shotgun;;;
Hum13b_SG;Ivanova et al., Frontiers 2022;SRR14292250;Hum13;NA;shotgun;;;
Hum14a_3C;Ivanova et al., Frontiers 2022;SRR14292247;Hum14;HpaII;3C;;;
Hum14b_3C;Ivanova et al., Frontiers 2022;SRR14292245;Hum14;HpaII;3C;;;
Hum14a_SG;Ivanova et al., Frontiers 2022;SRR14292248;Hum14;NA;shotgun;;;
Hum14b_SG;Ivanova et al., Frontiers 2022;SRR14292246;Hum14;NA;shotgun;;;
Hum15a_proxi;Press et al., BioRXiv 2017;SRR6131124;Hum15;Sau3AI;proxi;;;
Hum15b_proxi;Press et al., BioRXiv 2017;SRR6131122;Hum15;MluCI;proxi;;;
Hum15a_SG;Press et al., BioRXiv 2017;SRR6131123;Hum15;NA;proxi;;;
Hum16a_proxi;Gounot et al., 2022;SAMEA11358266;Hum16;Sau3AI,MluCI;proxi;;;
Hum16a_SG;Gounot et al., 2022;SAMEA11358266;Hum16;NA;shotgun;;;
Hum16a_SG;Gounot et al., 2022;SAMEA11358266;Hum16;NA;shotgun;;;
Hum16a_SG;Gounot et al., 2022;SAMEA11358266;Hum16;NA;shotgun;;;
Hum17a_proxi;Gounot et al., 2022;SAMEA11358267;Hum17;Sau3AI,MluCI;proxi;;;
Hum17a_SG;Gounot et al., 2022;SAMEA11358267;Hum17;NA;shotgun;;;
Hum18a_proxi;Gounot et al., 2022;SAMEA11358268;Hum18;Sau3AI,MluCI;proxi;;;
Hum18a_SG;Gounot et al., 2022;SAMEA11358268;Hum18;NA;shotgun;;;
Hum19a_proxi;Gounot et al., 2022;SAMEA11358272;Hum19;Sau3AI,MluCI;proxi;;;
Hum19a_SG;Gounot et al., 2022;SAMEA11358272;Hum19;NA;shotgun;;;
Hum20a_proxi;Gounot et al., 2022;SAMEA11358329;Hum20;Sau3AI,MluCI;proxi;;;
Hum20a_SG;Gounot et al., 2022;SAMEA11358329;Hum20;NA;shotgun;;;
Hum22a_proxi;Gounot et al., 2022;SAMEA11358278 ;Hum22;Sau3AI,MluCI;proxi;;;
Hum22a_SG;Gounot et al., 2022;SAMEA11358278 ;Hum22;NA;shotgun;;;
Hum23a_proxi;Gounot et al., 2022;SAMEA11358283;Hum23;Sau3AI,MluCI;proxi;;;
Hum23a_SG;Gounot et al., 2022;SAMEA11358283;Hum23;NA;shotgun;;;
Hum25a_proxi;Gounot et al., 2022;SAMEA11358285;Hum25;Sau3AI,MluCI;proxi;;;
Hum25a_SG;Gounot et al., 2022;SAMEA11358285;Hum25;NA;shotgun;;;
Hum26a_proxi;Gounot et al., 2022;SAMEA11358286;Hum26;Sau3AI,MluCI;proxi;;;
Hum26a_SG;Gounot et al., 2022;SAMEA11358286;Hum26;NA;shotgun;;;
Hum27a_proxi;Gounot et al., 2022;SAMEA11358303;Hum27;Sau3AI,MluCI;proxi;;;
Hum27a_SG;Gounot et al., 2022;SAMEA11358303;Hum27;NA;shotgun;;;
Hum28a_proxi;Gounot et al., 2022;SAMEA11358305;Hum28;Sau3AI,MluCI;proxi;;;
Hum28a_SG;Gounot et al., 2022;SAMEA11358305;Hum28;NA;shotgun;;;
Hum29a_proxi;Gounot et al., 2022;SAMEA11358307;Hum29;Sau3AI,MluCI;proxi;;;
Hum29a_SG;Gounot et al., 2022;SAMEA11358307;Hum29;NA;shotgun;;;
Hum30a_proxi;Gounot et al., 2022;SAMEA11358315;Hum30;Sau3AI,MluCI;proxi;;;
Hum30a_SG;Gounot et al., 2022;SAMEA11358315;Hum30;NA;shotgun;;;
Hum31a_proxi;Gounot et al., 2022;SAMEA11358318;Hum31;Sau3AI,MluCI;proxi;;;
Hum31a_SG;Gounot et al., 2022;SAMEA11358318;Hum31;NA;shotgun;;;
Hum32a_proxi;Gounot et al., 2022;SAMEA11358323;Hum32;Sau3AI,MluCI;proxi;;;
Hum32a_SG;Gounot et al., 2022;SAMEA11358323;Hum32;NA;shotgun;;;
Hum33a_proxi;Gounot et al., 2022;SAMEA11358324;Hum33;Sau3AI,MluCI;proxi;;;
Hum33a_SG;Gounot et al., 2022;SAMEA11358324;Hum33;NA;shotgun;;;
Hum34a_proxi;Gounot et al., 2022;SAMEA11358325;Hum34;Sau3AI,MluCI;proxi;;;
Hum34a_SG;Gounot et al., 2022;SAMEA11358325;Hum34;NA;shotgun;;;
Hum35a_proxi;Gounot et al., 2022;SAMEA11358332;Hum35;Sau3AI,MluCI;proxi;;;
Hum35a_SG;Gounot et al., 2022;SAMEA11358332;Hum35;NA;shotgun;;;
Hum36a_proxi;Gounot et al., 2022;SAMEA11358336;Hum36;Sau3AI,MluCI;proxi;;;
Hum36a_SG;Gounot et al., 2022;SAMEA11358336;Hum36;NA;shotgun;;;
Hum37a_proxi;Gounot et al., 2022;SAMEA11358338;Hum37;Sau3AI,MluCI;proxi;;;
Hum37a_SG;Gounot et al., 2022;SAMEA11358338;Hum37;NA;shotgun;;;
Hum38a_proxi;Gounot et al., 2022;SAMEA11358339;Hum38;Sau3AI,MluCI;proxi;;;
Hum38a_SG;Gounot et al., 2022;SAMEA11358339;Hum38;NA;shotgun;;;
Hum39a_proxi;Gounot et al., 2022;SAMEA11358349;Hum39;Sau3AI,MluCI;proxi;;;
Hum39a_SG;Gounot et al., 2022;SAMEA11358349;Hum39;NA;shotgun;;;
Hum40a_3C;Marbouty et al., Elife 2021;7020;Hum40;HpaII;3C;;;
Hum40b_3C;Marbouty et al., Elife 2021;7020;Hum40;MluCI;3C;;;
Hum41a_3C;Marbouty et al., Elife 2021;8016;Hum41;HpaII;3C;;;
Hum41b_3C;Marbouty et al., Elife 2021;8016;Hum41;MluCI;3C;;;
Hum42a_3C;Marbouty et al., Elife 2021;7016;Hum42;HpaII;3C;;;
Hum42b_3C;Marbouty et al., Elife 2021;7016;Hum42;MluCI;3C;;;
Hum43a_3C;Marbouty et al., Elife 2021;16026;Hum43;HpaII;3C;;;
Hum43b_3C;Marbouty et al., Elife 2021;16026;Hum43;MluCI;3C;;;
Hum44a_3C;Marbouty et al., Elife 2021;16021;Hum44;HpaII;3C;;;
Hum44b_3C;Marbouty et al., Elife 2021;16021;Hum44;MluCI;3C;;;
Hum45a_3C;Marbouty et al., Elife 2021;17006;Hum45;HpaII;3C;;;
Hum45b_3C;Marbouty et al., Elife 2021;17006;Hum45;MluCI;3C;;;
Hum46a_3C;Marbouty et al., Elife 2021;10015;Hum46;HpaII;3C;;;
Hum46b_3C;Marbouty et al., Elife 2021;10015;Hum46;MluCI;3C;;;
Hum47a_3C;Marbouty et al., Elife 2021;9010;Hum47;HpaII;3C;;;
Hum47b_3C;Marbouty et al., Elife 2021;9010;Hum47;MluCI;3C;;;
Hum47a_eHiC;Marbouty et al., Elife 2021;9010;Hum47;HpaII;eHiC;;;
Hum47b_eHiC;Marbouty et al., Elife 2021;9010;Hum47;MluCI;eHiC;;;
Hum48a_3C;Marbouty et al., Elife 2021;16016;Hum48;HpaII;3C;;;
Hum48b_3C;Marbouty et al., Elife 2021;16016;Hum48;MluCI;3C;;;
Hum48a_eHiC;Marbouty et al., Elife 2021;16016;Hum48;HpaII;eHiC;;;
Hum48b_eHiC;Marbouty et al., Elife 2021;16016;Hum48;MluCI;eHiC;;;
Hum49a_3C;Marbouty et al., Elife 2021;8015;Hum49;HpaII;3C;;;
Hum49b_3C;Marbouty et al., Elife 2021;8015;Hum49;MluCI;3C;;;
Hum49a_eHiC;Marbouty et al., Elife 2021;8015;Hum49;HpaII;eHiC;;;
Hum49b_eHiC;Marbouty et al., Elife 2021;8015;Hum49;MluCI;eHiC;;;
Hum49a_arima;Marbouty et al., Elife 2021;8015;Hum49;HinfI,DpnII;arima;;;
Hum50a_arima;this study;P015;Hum50;HinfI,DpnII;arima;;;
Hum50b_arima;this study;P015;Hum50;HinfI,DpnII;arima;;;
Hum50a_SG;this study;P015;Hum50;NA;shotgun;;;
Hum51a_arima;this study;P016;Hum51;HinfI,DpnII;arima;;;
Hum51a_SG;this study;P016;Hum51;NA;shotgun;;;
Hum52a_arima;this study;P006;Hum52;HinfI,DpnII;arima;;;
Hum52a_SG;this study;P006;Hum52;NA;shotgun;;;
Hum53a_arima;this study;P007;Hum53;HinfI,DpnII;arima;;;
Hum53a_SG;this study;P007;Hum53;NA;shotgun;;;
Hum54a_arima;this study;P011;Hum54;HinfI,DpnII;arima;;;
Hum54a_SG;this study;P011;Hum54;NA;shotgun;;;
Hum55a_arima;this study;P005;Hum55;HinfI,DpnII;arima;;;
Hum55a_SG;this study;P005;Hum55;NA;shotgun;;;
Hum56a_arima;this study;P009;Hum56;HinfI,DpnII;arima;;;
Hum56a_SG;this study;P009;Hum56;NA;shotgun;;;
Hum57a_arima;this study;P013;Hum57;HinfI,DpnII;arima;;;
Hum57a_SG;this study;P013;Hum57;NA;shotgun;;;
